customer_id,plan,billing_cycle,industry,company_size,seats,monthly_revenue,acquisition_channel,region,signup_date,churned,churn_date,churn_reason,support_tickets_12mo,nps_score,feature_usage_pct,upgraded,signup_date_dt,churn_date_dt,tenure_months,risk_score
CUST-0001,Professional,Monthly,Retail,51-200,64,825.55,Organic Search,North America,2022-06-27,Yes,2024-03-05,Price Too High,13,3,15,No,2022-06-27,2024-03-05,20.269382391590014,0.7563010204081633
CUST-0002,Professional,Annual,Retail,51-200,35,409.62,Direct Sales,North America,2023-03-19,No,,,1,3,52,Yes,2023-03-19,,37.155059132720105,0.5057397959183673
CUST-0003,Starter,Annual,Finance,500+,266,1004.49,Partner,North America,2024-10-19,Yes,2025-04-13,Price Too High,10,4,31,No,2024-10-19,2025-04-13,5.781865965834428,0.7025510204081632
CUST-0004,Business,Annual,Real Estate,11-50,34,1006.44,Partner,Europe,2023-01-07,No,,,3,7,58,No,2023-01-07,,39.48751642575559,0.3466836734693878
CUST-0005,Starter,Annual,Manufacturing,51-200,48,198.43,Direct Sales,North America,2025-09-23,No,,,3,7,59,No,2025-09-23,,6.964520367936925,0.46795918367346945
CUST-0006,Business,Annual,Technology,1-10,3,219.9,Referral,North America,2023-09-28,No,,,12,3,48,No,2023-09-28,,30.814717477003942,0.5503571428571429
CUST-0007,Starter,Monthly,Finance,201-500,121,551.0,Partner,Europe,2024-03-07,Yes,2025-04-08,Poor Support,0,2,14,No,2024-03-07,2025-04-08,13.042049934296976,0.8193622448979592
CUST-0008,Starter,Monthly,Technology,51-200,48,233.45,Referral,Europe,2025-04-08,Yes,2025-06-08,Price Too High,10,2,28,No,2025-04-08,2025-06-08,2.0039421813403417,0.792219387755102
CUST-0009,Starter,Monthly,Media,1-10,3,37.7,Partner,North America,2023-01-22,Yes,2023-04-21,Switched Competitor,5,6,15,No,2023-01-22,2023-04-21,2.923784494086728,0.7336479591836734
CUST-0010,Business,Monthly,Healthcare,51-200,80,2557.15,Partner,North America,2022-06-27,Yes,2023-12-01,Budget Cuts,3,4,48,No,2022-06-27,2023-12-01,17.1484888304862,0.5734183673469387
CUST-0011,Business,Annual,Healthcare,201-500,77,2097.46,Organic Search,Asia Pacific,2022-12-07,Yes,2023-06-14,Company Closed,9,1,37,No,2022-12-07,2023-06-14,6.2089356110381075,0.7608928571428571
CUST-0012,Business,Annual,Technology,11-50,30,904.95,Referral,North America,2023-11-17,No,,,4,1,47,Yes,2023-11-17,,29.17214191852825,0.6217346938775511
CUST-0013,Business,Monthly,Finance,1-10,4,288.55,Referral,Europe,2024-07-02,No,,,10,9,84,Yes,2024-07-02,,21.681997371879106,0.22581632653061226
CUST-0014,Starter,Monthly,Retail,51-200,56,268.25,Paid Ads,Europe,2022-05-29,Yes,2022-09-27,Poor Support,1,2,21,No,2022-05-29,2022-09-27,3.9750328515111693,0.8195663265306122
CUST-0015,Starter,Monthly,Education,1-10,6,50.75,Referral,North America,2024-01-17,Yes,2024-05-16,No Longer Needed,7,3,25,No,2024-01-17,2024-05-16,3.9421813403416555,0.7696938775510204
CUST-0016,Starter,Monthly,Manufacturing,201-500,52,250.85,Organic Search,North America,2022-06-01,Yes,2023-01-24,Budget Cuts,11,4,34,No,2022-06-01,2023-01-24,7.7858081471747695,0.6797704081632653
CUST-0017,Business,Monthly,Education,11-50,34,1184.05,Paid Ads,North America,2024-12-23,Yes,2024-12-31,No Longer Needed,3,3,49,No,2024-12-23,2024-12-31,0.2628120893561104,0.6639795918367347
CUST-0018,Starter,Monthly,Media,51-200,64,303.05,Referral,Europe,2023-06-21,Yes,2023-08-05,Company Closed,14,3,25,No,2023-06-21,2023-08-05,1.4783180026281209,0.7792602040816327
CUST-0019,Professional,Annual,Legal,500+,67,731.93,Partner,Latin America,2024-03-26,Yes,2025-04-23,Company Closed,10,2,10,No,2024-03-26,2025-04-23,12.910643889618921,0.8398724489795918
CUST-0020,Enterprise,Annual,Education,1-10,7,805.88,Organic Search,Asia Pacific,2023-08-11,No,,,8,4,93,No,2023-08-11,,32.3915900131406,0.289234693877551
CUST-0021,Professional,Annual,Retail,51-200,66,721.86,Partner,Europe,2023-11-23,Yes,2024-05-18,Price Too High,7,2,19,No,2023-11-23,2024-05-18,5.814717477003942,0.8224234693877551
CUST-0022,Business,Annual,Education,1-10,6,296.01,Referral,Europe,2022-07-02,No,,,5,7,40,No,2022-07-02,,45.69645203679369,0.4125765306122449
CUST-0023,Starter,Monthly,Healthcare,11-50,25,133.4,Paid Ads,Europe,2024-02-17,Yes,2024-04-23,Company Closed,11,1,16,No,2024-02-17,2024-04-23,2.1681997371879107,0.8815816326530612
CUST-0024,Enterprise,Annual,Manufacturing,11-50,14,1251.24,Referral,Europe,2025-05-22,No,,,11,1,85,No,2025-05-22,,11.038107752956636,0.5021428571428572
CUST-0025,Starter,Annual,Retail,11-50,7,46.83,Referral,North America,2024-06-08,No,,,1,1,42,No,2024-06-08,,22.470433639947437,0.6727551020408163
CUST-0026,Enterprise,Annual,Media,1-10,4,615.02,Referral,Europe,2025-07-25,No,,,2,9,73,No,2025-07-25,,8.935611038107753,0.3303061224489796
CUST-0027,Starter,Monthly,Consulting,1-10,1,29.0,Partner,Asia Pacific,2023-09-10,Yes,2025-04-24,Poor Support,8,3,10,No,2023-09-10,2025-04-24,19.44809461235217,0.7844897959183674
CUST-0028,Professional,Annual,Technology,51-200,35,409.62,Organic Search,Latin America,2025-12-29,No,,,8,4,53,No,2025-12-29,,3.7779237844940865,0.6003316326530612
CUST-0029,Starter,Monthly,Real Estate,11-50,22,120.35,Organic Search,North America,2022-12-06,Yes,2023-08-15,Missing Features,4,2,17,No,2022-12-06,2023-08-15,8.278580814717477,0.822857142857143
CUST-0030,Business,Annual,Real Estate,500+,230,5979.45,Partner,Europe,2023-11-04,No,,,9,3,76,No,2023-11-04,,29.59921156373193,0.41507653061224487
CUST-0031,Business,Annual,Finance,500+,174,4558.59,Direct Sales,Europe,2024-07-20,No,,,8,7,84,No,2024-07-20,,21.090670170827856,0.2881122448979592
CUST-0032,Enterprise,Annual,Technology,1-10,5,678.64,Referral,North America,2023-03-28,No,,,7,8,16,No,2023-03-28,,36.859395532194476,0.5368877551020408
